"","x"
"1",2.22044604925031e-16
"2",2.22044604925031e-16
"3",2.22044604925031e-16
"4",2.22044604925031e-16
"5",2.22044604925031e-16
"6",2.22044604925031e-16
"7",2.22044604925031e-16
"8",2.22044604925031e-16
"9",2.22044604925031e-16
"10",2.03187012957081e-05
"11",0.000409755198009988
"12",2.22044604925031e-16
"13",0.000380534310244825
"14",0.00762139029534962
"15",2.22044604925031e-16
"16",0.00173275464282166
"17",0.0338329723787155
"18",2.22044604925031e-16
"19",1.38833580211184e-05
"20",0.00028001198504726
"21",2.22044604925031e-16
"22",0.000260041072896197
"23",0.0052201091994615
"24",2.22044604925031e-16
"25",0.00118459872981105
"26",0.0233676390248406
"27",2.22044604925031e-16
"28",2.22044604925031e-16
"29",2.22044604925031e-16
"30",2.22044604925031e-16
"31",2.22044604925031e-16
"32",2.22044604925031e-16
"33",2.22044604925031e-16
"34",2.22044604925031e-16
"35",2.22044604925031e-16
"36",2.22044604925031e-16
"37",0.000129928507413936
"38",0.00261469801087253
"39",2.22044604925031e-16
"40",0.00242861798907725
"41",0.046815522965137
"42",2.22044604925031e-16
"43",0.0109787271714031
"44",0.182970746049089
"45",2.22044604925031e-16
"46",8.87806058256292e-05
"47",0.00178803956465466
"48",2.22044604925031e-16
"49",0.00166069232805756
"50",0.0324693382649758
"51",2.22044604925031e-16
"52",0.00752766961784048
"53",0.132710138974615
"54",2.22044604925031e-16
"55",2.22044604925031e-16
"56",2.22044604925031e-16
"57",2.22044604925031e-16
"58",2.22044604925031e-16
"59",2.22044604925031e-16
"60",2.22044604925031e-16
"61",2.22044604925031e-16
"62",2.22044604925031e-16
"63",2.22044604925031e-16
"64",0.000242968088313997
"65",0.00487897243753577
"66",2.22044604925031e-16
"67",0.00453248324913056
"68",0.084128181759137
"69",2.22044604925031e-16
"70",0.0203383793291227
"71",0.295194003602892
"72",2.22044604925031e-16
"73",0.000166026893206924
"74",0.00333884130485801
"75",2.22044604925031e-16
"76",0.00310138647942698
"77",0.0590562992711334
"78",2.22044604925031e-16
"79",0.0139868125545943
"80",0.222501635505927
"81",2.22044604925031e-16
"82",2.22044604925031e-16
"83",2.22044604925031e-16
"84",2.22044604925031e-16
"85",2.22044604925031e-16
"86",2.22044604925031e-16
"87",2.22044604925031e-16
"88",2.22044604925031e-16
"89",2.22044604925031e-16
"90",2.22044604925031e-16
"91",0.000242968088313999
"92",0.0048789724375358
"93",2.22044604925031e-16
"94",0.00453248324913059
"95",0.0841281817591375
"96",2.22044604925031e-16
"97",0.0203383793291229
"98",0.295194003602894
"99",2.22044604925031e-16
"100",0.000166026893206925
"101",0.00333884130485803
"102",2.22044604925031e-16
"103",0.003101386479427
"104",0.0590562992711337
"105",2.22044604925031e-16
"106",0.0139868125545944
"107",0.222501635505928
"108",2.22044604925031e-16
"109",2.22044604925031e-16
"110",2.22044604925031e-16
"111",2.22044604925031e-16
"112",2.22044604925031e-16
"113",2.22044604925031e-16
"114",2.22044604925031e-16
"115",2.22044604925031e-16
"116",2.22044604925031e-16
"117",2.22044604925031e-16
"118",0.000342616124279343
"119",0.00686691642096541
"120",2.22044604925031e-16
"121",0.00638015488998255
"122",0.114684967547039
"123",2.22044604925031e-16
"124",0.028445226047878
"125",0.371331338605968
"126",2.22044604925031e-16
"127",0.000234126574256121
"128",0.00470222200057865
"129",2.22044604925031e-16
"130",0.00436822996909895
"131",0.081315068662656
"132",2.22044604925031e-16
"133",0.019612619121893
"134",0.287538958576407
"135",2.22044604925031e-16
"136",2.22044604925031e-16
"137",2.22044604925031e-16
"138",2.22044604925031e-16
"139",2.22044604925031e-16
"140",2.22044604925031e-16
"141",2.22044604925031e-16
"142",2.22044604925031e-16
"143",3.64757867784081e-13
"144",2.22044604925031e-16
"145",0.00218706584852311
"146",0.0423466215107575
"147",2.22044604925031e-16
"148",0.039444768977026
"149",0.453087806021096
"150",2.12690534790442e-13
"151",0.157710190312878
"152",0.790682238535281
"153",2.22044604925031e-16
"154",0.00149540414671829
"155",0.0293277547947485
"156",2.22044604925031e-16
"157",0.0272926102420376
"158",0.361453842545806
"159",1.45326209401909e-13
"160",0.113425158542366
"161",0.720750099594832
"162",2.22044604925031e-16
"163",2.22044604925031e-16
"164",2.22044604925031e-16
"165",2.22044604925031e-16
"166",2.22044604925031e-16
"167",1.49612342647712e-13
"168",2.22044604925031e-16
"169",2.22044604925031e-16
"170",6.82179331623134e-13
"171",2.22044604925031e-16
"172",0.00408253547298114
"173",0.0763829215804227
"174",2.22044604925031e-16
"175",0.0713223978341458
"176",0.607748156315019
"177",3.97779183619468e-13
"178",0.259358347591473
"179",0.87600184320282
"180",2.22044604925031e-16
"181",0.00279310764063472
"182",0.0534844864436176
"183",2.22044604925031e-16
"184",0.0498591354724465
"185",0.514245943815449
"186",2.71792729240928e-13
"187",0.1930732092581
"188",0.828387812315119
"189",2.22044604925031e-16
"190",2.22044604925031e-16
"191",2.22044604925031e-16
"192",2.22044604925031e-16
"193",2.22044604925031e-16
"194",1.49612342647713e-13
"195",2.22044604925031e-16
"196",2.22044604925031e-16
"197",6.82179331623139e-13
"198",2.22044604925031e-16
"199",0.00408253547298117
"200",0.0763829215804232
"201",2.22044604925031e-16
"202",0.0713223978341463
"203",0.607748156315021
"204",3.97779183619471e-13
"205",0.259358347591474
"206",0.876001843202821
"207",2.22044604925031e-16
"208",0.00279310764063474
"209",0.053484486443618
"210",2.22044604925031e-16
"211",0.0498591354724468
"212",0.514245943815451
"213",2.7179272924093e-13
"214",0.193073209258101
"215",0.82838781231512
"216",2.22044604925031e-16
"217",2.22044604925031e-16
"218",2.22044604925031e-16
"219",2.22044604925031e-16
"220",2.22044604925031e-16
"221",3.77232028761651e-13
"222",2.22044604925031e-16
"223",2.22044604925031e-16
"224",1.72004454106574e-12
"225",2.22044604925031e-16
"226",0.0102301493819394
"227",0.172540875159197
"228",2.1996422565145e-13
"229",0.16222866577221
"230",0.796193199443354
"231",1.00295901915793e-12
"232",0.468916802883675
"233",0.946844554852218
"234",2.22044604925031e-16
"235",0.00701273160317992
"236",0.124707968434258
"237",1.50296143405945e-13
"238",0.116850864783638
"239",0.727467627571354
"240",6.85297221069685e-13
"241",0.376284080946255
"242",0.924075692836627
"243",2.22044604925031e-16
"244",2.22044604925031e-16
"245",1.28768703739637e-13
"246",2.22044604925031e-16
"247",1.19582320618483e-13
"248",2.41248526453982e-12
"249",2.22044604925031e-16
"250",5.45253059405368e-13
"251",1.10000789786199e-11
"252",2.22044604925031e-16
"253",0.0620020105052816
"254",0.571463995435667
"255",1.40672162661399e-12
"256",0.553250767692876
"257",0.961514261243817
"258",6.41415274994173e-12
"259",0.849547819829947
"260",0.991298037452386
"261",2.22044604925031e-16
"262",0.0432130471887548
"263",0.476759118620245
"264",9.61178276602664e-13
"265",0.45833599726129
"266",0.944661843331829
"267",4.38263276075783e-12
"268",0.794162593872188
"269",0.987315506252902
"270",2.22044604925031e-16
"271",2.22044604925031e-16
"272",2.40826466019096e-13
"273",2.22044604925031e-16
"274",2.2364586142873e-13
"275",4.5118905736276e-12
"276",2.22044604925031e-16
"277",1.01974597529654e-12
"278",2.05726241655991e-11
"279",1.40426058964715e-13
"280",0.110021433971118
"281",0.713794605376268
"282",2.63088614058498e-12
"283",0.698438414214712
"284",0.979046644007113
"285",1.19959096768573e-11
"286",0.913498324079979
"287",0.995328187782585
"288",9.59496710593988e-14
"289",0.0778891010520778
"290",0.630189126295387
"291",1.79761976975718e-12
"292",0.612780590130538
"293",0.969628936924332
"294",8.19650993585354e-12
"295",0.878281960925386
"296",0.993177396714388
"297",2.22044604925031e-16
"298",2.22044604925031e-16
"299",2.40826466019097e-13
"300",2.22044604925031e-16
"301",2.23645861428732e-13
"302",4.51189057362764e-12
"303",2.22044604925031e-16
"304",1.01974597529655e-12
"305",2.05726241655992e-11
"306",1.40426058964716e-13
"307",0.110021433971119
"308",0.713794605376269
"309",2.630886140585e-12
"310",0.698438414214714
"311",0.979046644007113
"312",1.19959096768574e-11
"313",0.913498324079979
"314",0.995328187782585
"315",9.59496710593995e-14
"316",0.0778891010520784
"317",0.630189126295389
"318",1.7976197697572e-12
"319",0.61278059013054
"320",0.969628936924332
"321",8.1965099358536e-12
"322",0.878281960925387
"323",0.993177396714388
